"id";"id_livello";"nome";"cognome";"user_name";"password"
1;1;"Alberto";"Ramponi";"albram89";"123456"
2;1;"Marco";"Brambilla";"marbra97";"123456"
3;1;"Arjuna";"Moro";"arjmor95";"123456"
4;2;"Valentina";"Vastano";"valvas";"123456"
5;2;"Antonio";"Lezzi";"antlez81";"123456"
6;3;"Matteo";"Valsasina";"matval";"123456"
7;4;"Mario ";"Rossi";"marros25";"123456"
8;1;"Giuseppe";"Verdi";"Giuver";"123456"
9;1;"Franco ";"Blu";"Frablu";"123456"
10;2;"Alessandro";"Manzoni";"Aleman";"123456"
11;3;"Toto";"Cutugno";"Totcut";"123456"
12;3;"Giovanni";"Giovanni";"Giogio";"123456"
13;1;"Stefano";"Federico";"Stefed";"123456"
14;1;"Valeria";"Gambuzza";"Valgam";"123456"
